"","STATE","YEAR","Enroll","Tot_Revenue","Fed_Revenue","State_Revenue","Local_Revenue","Tot_Expenditure","Inst_Expenditure","State.Min.Wage","Fed.Min.Wage","Effective.Min.Wage","Percent","wage_cat"
"1","Alabama",1993,727716,2827391,331409,1729295,766687,2833433,1564558,0,4.25,4.25,55.2177517520266,"low"
"2","Alaska",1993,121156,1191398,176150,775829,239419,1126398,494917,4.75,4.25,4.75,43.9380219069991,"low"
"3","Arizona",1993,676297,3427976,318465,1415407,1694104,3623946,1578889,0,4.25,4.25,43.5682264581205,"low"
"4","Arkansas",1993,311432,1346909,128196,771079,447634,1376067,782791,3.65,4.25,4.25,56.886110923378,"low"
"5","California",1993,5129788,28043338,2151157,17064146,8828035,28110986,15281147,4.25,4.25,4.25,54.3600533969175,"low"
"6","Colorado",1993,539538,3058326,147793,1242337,1668196,3028305,1537714,3,4.25,4.25,50.7780425023239,"low"
"7","Connecticut",1993,471918,4064158,149204,1433539,2481415,4079943,2302852,4.27,4.25,4.27,56.4432395256502,"low"
"8","Delaware",1993,104355,683954,44497,443250,196207,694534,394680,4.25,4.25,4.25,56.8265916427418,"low"
"9","Florida",1993,1980569,11370156,947326,5520893,4901937,11425183,5333136,0,4.25,4.25,46.6787796746888,"low"
"10","Georgia",1993,893557,4716559,296231,2243580,2176748,4647974,2538712,3.25,4.25,4.25,54.6197547576643,"low"
"11","Hawaii",1993,177448,1062475,76183,962375,23917,1063090,580597,3.85,4.25,4.25,54.6140966428054,"low"
"12","Idaho",1993,231632,890835,72747,547454,270634,899819,499914,4.25,4.25,4.25,55.5571731648254,"low"
"13","Illinois",1993,1856841,10584624,632724,3467071,6484829,10744695,5520683,4.25,4.25,4.25,51.3805463998745,"low"
"14","Indiana",1993,958052,5833420,278090,3005534,2549796,5668599,2862585,3.35,4.25,4.25,50.4989857282196,"low"
"15","Iowa",1993,493957,2880731,131444,1299055,1450232,2889377,1522556,4.65,4.25,4.65,52.6949581172689,"low"
"16","Kansas",1993,451469,2386945,123082,1165178,1098685,2522542,1309958,2.65,4.25,4.25,51.9300768827635,"low"
"17","Kentucky",1993,489281,2381148,216900,1529326,634922,2283431,1247496,4.25,4.25,4.25,54.6325244774202,"low"
"18","Louisiana",1993,795719,3438321,397206,1876967,1164148,3427102,1898515,0,4.25,4.25,55.3970964389154,"low"
"19","Maine",1993,211511,1368095,77440,652164,638491,1321846,809278,4.25,4.25,4.25,61.2233195092318,"low"
"20","Maryland",1993,751850,4918010,252211,1940713,2725086,4898895,2785206,4.25,4.25,4.25,56.8537598785032,"low"
"21","Massachusetts",1993,862495,6121612,305113,1924321,3892178,5679261,3237228,4.25,4.25,4.25,57.0008668381326,"low"
"22","Michigan",1993,1600650,11034174,594226,3326748,7113200,11430958,5411969,3.35,4.25,4.25,47.344841963377,"low"
"23","Minnesota",1993,781566,4862635,213724,2284106,2364805,5290504,2756415,4.25,4.25,4.25,52.1011797741765,"low"
"24","Mississippi",1993,329408,1170109,174870,612301,382938,1167032,652571,0,4.25,4.25,55.9171470876548,"low"
"25","Missouri",1993,834636,4196601,271548,1939230,1985823,4234845,2229886,4.25,4.25,4.25,52.6556698060968,"low"
"26","Montana",1993,158875,813998,74386,445532,294080,833435,446245,4.25,4.25,4.25,53.542867770132,"low"
"27","Nebraska",1993,281354,1625242,94308,509432,1021502,1642376,972575,4.25,4.25,4.25,59.2175604124756,"low"
"28","Nevada",1993,222846,1148268,52876,753277,342115,1265367,611914,4.25,4.25,4.25,48.3586184877589,"low"
"29","New Hampshire",1993,177722,1109743,34680,84342,990721,1091814,611158,4.25,4.25,4.25,55.9763842559264,"low"
"30","New Jersey",1993,653488,6747567,331924,3104597,3311046,6641624,3676378,4.25,4.25,4.25,55.3536002640318,"low"
"31","New Mexico",1993,281407,1217194,154018,897725,165451,1223185,587753,3.35,4.25,4.25,48.0510307108083,"low"
"32","New York",1993,2663637,22688753,1276362,8848470,12563921,23934282,14029639,4.25,4.25,4.25,58.617338092699,"low"
"33","North Carolina",1993,1112636,5583166,433602,3388466,1761098,5475174,3037814,3.8,4.25,4.25,55.4834239057973,"low"
"34","North Dakota",1993,118793,580148,56254,243783,280111,588983,310940,4.25,4.25,4.25,52.7926952051248,"low"
"35","Ohio",1993,1834239,10841606,509488,4156070,6176048,10385253,5522474,4.25,4.25,4.25,53.1761142458446,"low"
"36","Oklahoma",1993,312817,1436505,99809,802783,533913,1428916,726475,4.25,4.25,4.25,50.8409871538985,"low"
"37","Oregon",1993,509814,3141217,196584,1180698,1763935,3149126,1712282,4.75,4.25,4.75,54.3732451480188,"low"
"38","Pennsylvania",1993,1719829,12269422,695807,4781408,6792207,12809067,6856146,4.25,4.25,4.25,53.5257251757681,"low"
"39","Rhode Island",1993,138939,919594,46215,351512,521867,901540,588044,4.45,4.25,4.45,65.226612241276,"low"
"40","South Carolina",1993,631613,3031112,277419,1419961,1333732,2994038,1592384,0,4.25,4.25,53.1851633145605,"low"
"41","South Dakota",1993,107050,465650,52787,120851,292012,481665,265549,4.25,4.25,4.25,55.1314710431524,"low"
"42","Tennessee",1993,844668,3268642,334410,1535027,1399205,3286481,1969619,0,4.25,4.25,59.9309413320813,"low"
"43","Texas",1993,3535333,20267205,1233446,9919561,9114198,18574871,8914245,3.35,4.25,4.25,47.9908851049356,"low"
"44","Utah",1993,462323,1638305,116791,928596,592918,1665011,881924,4.25,4.25,4.25,52.9680584692834,"low"
"45","Vermont",1993,97454,837540,34179,216778,586583,809853,405876,4.25,4.25,4.25,50.1172434997463,"low"
"46","Virginia",1993,1032842,5918536,365601,2358711,3194224,5955333,3121277,3.65,4.25,4.25,52.4114604506583,"low"
"47","Washington",1993,896197,5270961,284396,3720223,1266342,5791436,2778268,4.25,4.25,4.25,47.972005561315,"low"
"48","West Virginia",1993,317719,1832154,140913,1220263,470978,1829848,1023497,3.8,4.25,4.25,55.9334436521503,"low"
"49","Wisconsin",1993,829085,5357945,226234,2205644,2926067,5640718,3111910,3.8,4.25,4.25,55.1686859722468,"low"
"50","Wyoming",1993,100313,615130,35437,308683,271010,614807,334071,1.6,4.25,4.25,54.3375400735515,"low"
"51","Alabama",1994,730004,2970223,331823,1850894,787506,3103266,1697593,0,4.25,4.25,54.7034318037835,"low"
"52","Alaska",1994,123868,1052282,134168,668229,249885,1116160,516242,4.75,4.25,4.75,46.2516126720183,"low"
"53","Arizona",1994,708482,3566586,348847,1478372,1739367,3803379,1652311,0,4.25,4.25,43.4432382363157,"low"
"54","Arkansas",1994,312695,1393287,132108,810396,450783,1445984,816270,4.25,4.25,4.25,56.4508320977272,"low"
"55","California",1994,4120498,23440845,2095878,13175550,8169417,23012688,12443864,4.25,4.25,4.25,54.0739265226209,"low"
"56","Colorado",1994,549570,3061865,165539,1269532,1626794,3113755,1574164,3,4.25,4.25,50.5551657082847,"low"
"57","Connecticut",1994,479522,4268860,142392,1537064,2589404,4132350,2431273,4.27,4.25,4.27,58.8351180321125,"low"
"58","Delaware",1994,103782,705798,50572,447430,207796,732323,413915,4.25,4.25,4.25,56.5208248272962,"low"
"59","Florida",1994,2039884,12315950,890498,6158417,5267035,12469073,5715125,0,4.25,4.25,45.8344016431695,"low"
"60","Georgia",1994,1235304,6824191,449430,3473578,2901183,6597359,3509251,3.25,4.25,4.25,53.1917544581097,"low"
"61","Hawaii",1994,181212,1133949,77993,1025813,30143,1146267,615270,5.25,4.25,5.25,53.6759760160591,"low"
"62","Idaho",1994,236774,949999,77626,576106,296267,974781,538783,4.25,4.25,4.25,55.2722098604712,"low"
"63","Illinois",1994,1875956,11309803,628532,3697747,6983524,10743708,5727974,4.25,4.25,4.25,53.3146842784633,"low"
"64","Indiana",1994,963071,6121754,286351,2754602,3080801,6061435,3003825,3.35,4.25,4.25,49.556334432358,"low"
"65","Iowa",1994,497925,2987394,139312,1339912,1508170,2974072,1551221,4.65,4.25,4.65,52.1581521899941,"low"
"66","Kansas",1994,457744,2700587,134686,1540727,1025174,2643192,1371720,2.65,4.25,4.25,51.8963435119356,"low"
"67","Kentucky",1994,490069,2491948,238630,1561340,691978,2392549,1310208,4.25,4.25,4.25,54.7620132335848,"low"
"68","Louisiana",1994,798312,3571864,437307,1914388,1220169,3539581,1952186,0,4.25,4.25,55.1530251744486,"low"
"69","Maine",1994,211731,1357116,77393,609841,669882,1338353,799103,4.25,4.25,4.25,59.707939534637,"low"
"70","Maryland",1994,772638,5141505,258611,2002382,2880512,5187683,2812922,4.25,4.25,4.25,54.223089575828,"low"
"71","Massachusetts",1994,877384,6410757,312111,2119446,3979200,6391131,3536321,4.25,4.25,4.25,55.3316932480339,"low"
